id,ts,orderId,jobType,printerId,printerName,connectionType,printerHost,printerPort,terminalId,terminalIp,event,attempt,bytes,centerName,errorMsg
"3044","2026-07-20T14:28:39.000Z","347","kitchen","","","","","","1","127.0.0.1","queued","","","",""
"3045","2026-07-20T14:28:39.000Z","347","kitchen","7","Pizzeria","network","127.0.0.1","9105","1","127.0.0.1","rendering","","","Pizzeria",""
"3046","2026-07-20T14:28:39.000Z","348","kitchen","","","","","","1","127.0.0.1","queued","","","",""
"3047","2026-07-20T14:28:39.000Z","349","kitchen","","","","","","1","127.0.0.1","queued","","","",""
"3048","2026-07-20T14:28:39.000Z","349","kitchen","6","Cucina","network","127.0.0.1","9104","1","127.0.0.1","rendering","","","Cucina",""
"3049","2026-07-20T14:28:39.000Z","347","kitchen","7","Pizzeria","network","127.0.0.1","9105","1","127.0.0.1","sent","","19025","Pizzeria",""
"3050","2026-07-20T14:28:39.000Z","347","kitchen","7","Pizzeria","network","127.0.0.1","9105","1","127.0.0.1","ok","","19025","Pizzeria",""
"3051","2026-07-20T14:28:39.000Z","347","kitchen","6","Cucina","network","127.0.0.1","9104","1","127.0.0.1","rendering","","","Cucina",""
"3052","2026-07-20T14:28:39.000Z","347","receipt","","","","","","1","","queued","","","",""
"3053","2026-07-20T14:28:39.000Z","347","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","rendering","","","",""
"3054","2026-07-20T14:28:39.000Z","350","kitchen","","","","","","1","127.0.0.1","queued","","","",""
"3055","2026-07-20T14:28:39.000Z","350","kitchen","6","Cucina","network","127.0.0.1","9104","1","127.0.0.1","rendering","","","Cucina",""
"3056","2026-07-20T14:28:39.000Z","348","receipt","","","","","","1","","queued","","","",""
"3057","2026-07-20T14:28:39.000Z","348","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","rendering","","","",""
"3058","2026-07-20T14:28:39.000Z","349","receipt","","","","","","1","","queued","","","",""
"3059","2026-07-20T14:28:39.000Z","349","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","rendering","","","",""
"3060","2026-07-20T14:28:39.000Z","351","kitchen","","","","","","1","127.0.0.1","queued","","","",""
"3061","2026-07-20T14:28:39.000Z","351","kitchen","6","Cucina","network","127.0.0.1","9104","1","127.0.0.1","rendering","","","Cucina",""
"3062","2026-07-20T14:28:39.000Z","351","receipt","","","","","","1","","queued","","","",""
"3063","2026-07-20T14:28:39.000Z","351","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","rendering","","","",""
"3064","2026-07-20T14:28:39.000Z","350","receipt","","","","","","1","","queued","","","",""
"3065","2026-07-20T14:28:39.000Z","350","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","rendering","","","",""
"3066","2026-07-20T14:28:39.000Z","349","kitchen","6","Cucina","network","127.0.0.1","9104","1","127.0.0.1","sent","","19025","Cucina",""
"3067","2026-07-20T14:28:39.000Z","347","kitchen","6","Cucina","network","127.0.0.1","9104","1","127.0.0.1","sent","","19025","Cucina",""
"3068","2026-07-20T14:28:39.000Z","350","kitchen","6","Cucina","network","127.0.0.1","9104","1","127.0.0.1","sent","","21977","Cucina",""
"3069","2026-07-20T14:28:39.000Z","347","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","sent","","50489","",""
"3070","2026-07-20T14:28:39.000Z","351","kitchen","6","Cucina","network","127.0.0.1","9104","1","127.0.0.1","sent","","19025","Cucina",""
"3071","2026-07-20T14:28:39.000Z","349","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","sent","","50489","",""
"3072","2026-07-20T14:28:39.000Z","351","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","sent","","50489","",""
"3073","2026-07-20T14:28:39.000Z","349","kitchen","6","Cucina","network","127.0.0.1","9104","1","127.0.0.1","ok","","19025","Cucina",""
"3074","2026-07-20T14:28:39.000Z","347","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","ok","","50489","",""
"3075","2026-07-20T14:28:39.000Z","347","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","rendering","","","",""
"3076","2026-07-20T14:28:39.000Z","347","kitchen","6","Cucina","network","127.0.0.1","9104","1","127.0.0.1","ok","","19025","Cucina",""
"3077","2026-07-20T14:28:39.000Z","349","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","ok","","50489","",""
"3078","2026-07-20T14:28:39.000Z","350","kitchen","6","Cucina","network","127.0.0.1","9104","1","127.0.0.1","ok","","21977","Cucina",""
"3079","2026-07-20T14:28:39.000Z","351","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","ok","","50489","",""
"3080","2026-07-20T14:28:39.000Z","351","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","rendering","","","",""
"3081","2026-07-20T14:28:39.000Z","351","kitchen","6","Cucina","network","127.0.0.1","9104","1","127.0.0.1","ok","","19025","Cucina",""
"3082","2026-07-20T14:28:39.000Z","351","kitchen","7","Pizzeria","network","127.0.0.1","9105","1","127.0.0.1","rendering","","","Pizzeria",""
"3083","2026-07-20T14:28:39.000Z","352","kitchen","","","","","","1","127.0.0.1","queued","","","",""
"3084","2026-07-20T14:28:39.000Z","352","kitchen","6","Cucina","network","127.0.0.1","9104","1","127.0.0.1","rendering","","","Cucina",""
"3085","2026-07-20T14:28:39.000Z","352","receipt","","","","","","1","","queued","","","",""
"3086","2026-07-20T14:28:39.000Z","352","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","rendering","","","",""
"3087","2026-07-20T14:28:39.000Z","348","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","sent","","50489","",""
"3088","2026-07-20T14:28:40.000Z","351","kitchen","7","Pizzeria","network","127.0.0.1","9105","1","127.0.0.1","sent","","19025","Pizzeria",""
"3089","2026-07-20T14:28:40.000Z","352","kitchen","6","Cucina","network","127.0.0.1","9104","1","127.0.0.1","sent","","21977","Cucina",""
"3090","2026-07-20T14:28:40.000Z","350","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","sent","","53369","",""
"3091","2026-07-20T14:28:40.000Z","347","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","sent","","50489","",""
"3092","2026-07-20T14:28:40.000Z","351","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","sent","","50489","",""
"3093","2026-07-20T14:28:40.000Z","348","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","ok","","50489","",""
"3094","2026-07-20T14:28:40.000Z","351","kitchen","7","Pizzeria","network","127.0.0.1","9105","1","127.0.0.1","ok","","19025","Pizzeria",""
"3095","2026-07-20T14:28:40.000Z","352","kitchen","6","Cucina","network","127.0.0.1","9104","1","127.0.0.1","ok","","21977","Cucina",""
"3096","2026-07-20T14:28:40.000Z","350","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","ok","","53369","",""
"3097","2026-07-20T14:28:40.000Z","347","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","ok","","50489","",""
"3098","2026-07-20T14:28:40.000Z","347","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","rendering","","","",""
"3099","2026-07-20T14:28:40.000Z","351","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","ok","","50489","",""
"3100","2026-07-20T14:28:40.000Z","353","kitchen","","","","","","1","127.0.0.1","queued","","","",""
"3101","2026-07-20T14:28:40.000Z","353","kitchen","7","Pizzeria","network","127.0.0.1","9105","1","127.0.0.1","rendering","","","Pizzeria",""
"3102","2026-07-20T14:28:40.000Z","353","receipt","","","","","","1","","queued","","","",""
"3103","2026-07-20T14:28:40.000Z","353","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","rendering","","","",""
"3104","2026-07-20T14:28:40.000Z","354","kitchen","","","","","","1","127.0.0.1","queued","","","",""
"3105","2026-07-20T14:28:40.000Z","354","kitchen","6","Cucina","network","127.0.0.1","9104","1","127.0.0.1","rendering","","","Cucina",""
"3106","2026-07-20T14:28:40.000Z","354","receipt","","","","","","1","","queued","","","",""
"3107","2026-07-20T14:28:40.000Z","354","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","rendering","","","",""
"3108","2026-07-20T14:28:40.000Z","353","kitchen","7","Pizzeria","network","127.0.0.1","9105","1","127.0.0.1","sent","","19025","Pizzeria",""
"3109","2026-07-20T14:28:40.000Z","352","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","sent","","53369","",""
"3110","2026-07-20T14:28:40.000Z","347","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","sent","","50489","",""
"3111","2026-07-20T14:28:40.000Z","354","kitchen","6","Cucina","network","127.0.0.1","9104","1","127.0.0.1","sent","","21977","Cucina",""
"3112","2026-07-20T14:28:40.000Z","353","kitchen","7","Pizzeria","network","127.0.0.1","9105","1","127.0.0.1","ok","","19025","Pizzeria",""
"3113","2026-07-20T14:28:40.000Z","352","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","ok","","53369","",""
"3114","2026-07-20T14:28:40.000Z","354","kitchen","6","Cucina","network","127.0.0.1","9104","1","127.0.0.1","ok","","21977","Cucina",""
"3115","2026-07-20T14:28:40.000Z","347","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","ok","","50489","",""
"3116","2026-07-20T14:28:40.000Z","355","kitchen","","","","","","1","127.0.0.1","queued","","","",""
"3117","2026-07-20T14:28:40.000Z","355","kitchen","7","Pizzeria","network","127.0.0.1","9105","1","127.0.0.1","rendering","","","Pizzeria",""
"3118","2026-07-20T14:28:40.000Z","355","receipt","","","","","","1","","queued","","","",""
"3119","2026-07-20T14:28:40.000Z","355","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","rendering","","","",""
"3120","2026-07-20T14:28:40.000Z","353","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","sent","","50489","",""
"3121","2026-07-20T14:28:40.000Z","355","kitchen","7","Pizzeria","network","127.0.0.1","9105","1","127.0.0.1","sent","","19025","Pizzeria",""
"3122","2026-07-20T14:28:40.000Z","353","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","ok","","50489","",""
"3123","2026-07-20T14:28:40.000Z","355","kitchen","7","Pizzeria","network","127.0.0.1","9105","1","127.0.0.1","ok","","19025","Pizzeria",""
"3124","2026-07-20T14:28:40.000Z","356","kitchen","","","","","","1","127.0.0.1","queued","","","",""
"3125","2026-07-20T14:28:40.000Z","356","kitchen","6","Cucina","network","127.0.0.1","9104","1","127.0.0.1","rendering","","","Cucina",""
"3126","2026-07-20T14:28:40.000Z","356","receipt","","","","","","1","","queued","","","",""
"3127","2026-07-20T14:28:40.000Z","356","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","rendering","","","",""
"3128","2026-07-20T14:28:40.000Z","354","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","sent","","53369","",""
"3129","2026-07-20T14:28:40.000Z","356","kitchen","6","Cucina","network","127.0.0.1","9104","1","127.0.0.1","sent","","21977","Cucina",""
"3130","2026-07-20T14:28:40.000Z","354","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","ok","","53369","",""
"3131","2026-07-20T14:28:40.000Z","356","kitchen","6","Cucina","network","127.0.0.1","9104","1","127.0.0.1","ok","","21977","Cucina",""
"3132","2026-07-20T14:28:40.000Z","357","kitchen","","","","","","1","127.0.0.1","queued","","","",""
"3133","2026-07-20T14:28:40.000Z","357","kitchen","6","Cucina","network","127.0.0.1","9104","1","127.0.0.1","rendering","","","Cucina",""
"3134","2026-07-20T14:28:40.000Z","357","receipt","","","","","","1","","queued","","","",""
"3135","2026-07-20T14:28:40.000Z","357","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","rendering","","","",""
"3136","2026-07-20T14:28:40.000Z","355","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","sent","","50489","",""
"3137","2026-07-20T14:28:40.000Z","357","kitchen","6","Cucina","network","127.0.0.1","9104","1","127.0.0.1","sent","","24929","Cucina",""
"3138","2026-07-20T14:28:40.000Z","356","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","sent","","53369","",""
"3139","2026-07-20T14:28:40.000Z","355","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","ok","","50489","",""
"3140","2026-07-20T14:28:40.000Z","357","kitchen","6","Cucina","network","127.0.0.1","9104","1","127.0.0.1","ok","","24929","Cucina",""
"3141","2026-07-20T14:28:40.000Z","356","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","ok","","53369","",""
"3142","2026-07-20T14:28:40.000Z","356","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","rendering","","","",""
"3143","2026-07-20T14:28:40.000Z","358","kitchen","","","","","","1","127.0.0.1","queued","","","",""
"3144","2026-07-20T14:28:40.000Z","358","receipt","","","","","","1","","queued","","","",""
"3145","2026-07-20T14:28:40.000Z","358","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","rendering","","","",""
"3146","2026-07-20T14:28:40.000Z","359","kitchen","","","","","","1","127.0.0.1","queued","","","",""
"3147","2026-07-20T14:28:40.000Z","359","kitchen","6","Cucina","network","127.0.0.1","9104","1","127.0.0.1","rendering","","","Cucina",""
"3148","2026-07-20T14:28:40.000Z","359","receipt","","","","","","1","","queued","","","",""
"3149","2026-07-20T14:28:40.000Z","359","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","rendering","","","",""
"3150","2026-07-20T14:28:40.000Z","357","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","sent","","56249","",""
"3151","2026-07-20T14:28:40.000Z","356","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","sent","","50489","",""
"3152","2026-07-20T14:28:40.000Z","359","kitchen","6","Cucina","network","127.0.0.1","9104","1","127.0.0.1","sent","","21977","Cucina",""
