id,ts,orderId,jobType,printerId,printerName,connectionType,printerHost,printerPort,terminalId,terminalIp,event,attempt,bytes,centerName,errorMsg
"59","2026-07-20T14:09:37.000Z","47","kitchen","","","","","","1","127.0.0.1","queued","","","",""
"60","2026-07-20T14:09:37.000Z","48","kitchen","","","","","","1","127.0.0.1","queued","","","",""
"61","2026-07-20T14:09:37.000Z","48","kitchen","6","Cucina","network","127.0.0.1","9104","1","127.0.0.1","rendering","","","Cucina",""
"62","2026-07-20T14:09:37.000Z","47","receipt","","","","","","1","","queued","","","",""
"63","2026-07-20T14:09:37.000Z","47","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","rendering","","","",""
"64","2026-07-20T14:09:37.000Z","48","receipt","","","","","","1","","queued","","","",""
"65","2026-07-20T14:09:37.000Z","48","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","rendering","","","",""
"66","2026-07-20T14:09:37.000Z","49","kitchen","","","","","","1","127.0.0.1","queued","","","",""
"67","2026-07-20T14:09:37.000Z","49","kitchen","6","Cucina","network","127.0.0.1","9104","1","127.0.0.1","rendering","","","Cucina",""
"68","2026-07-20T14:09:37.000Z","48","kitchen","6","Cucina","network","127.0.0.1","9104","1","127.0.0.1","sent","","19025","Cucina",""
"69","2026-07-20T14:09:37.000Z","47","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","sent","","50489","",""
"70","2026-07-20T14:09:37.000Z","48","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","sent","","50489","",""
"71","2026-07-20T14:09:37.000Z","50","kitchen","","","","","","1","127.0.0.1","queued","","","",""
"72","2026-07-20T14:09:37.000Z","50","kitchen","6","Cucina","network","127.0.0.1","9104","1","127.0.0.1","rendering","","","Cucina",""
"73","2026-07-20T14:09:37.000Z","49","receipt","","","","","","1","","queued","","","",""
"74","2026-07-20T14:09:37.000Z","49","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","rendering","","","",""
"75","2026-07-20T14:09:37.000Z","50","receipt","","","","","","1","","queued","","","",""
"76","2026-07-20T14:09:37.000Z","50","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","rendering","","","",""
"77","2026-07-20T14:09:37.000Z","51","kitchen","","","","","","1","127.0.0.1","queued","","","",""
"78","2026-07-20T14:09:37.000Z","51","kitchen","6","Cucina","network","127.0.0.1","9104","1","127.0.0.1","rendering","","","Cucina",""
"79","2026-07-20T14:09:37.000Z","48","kitchen","6","Cucina","network","127.0.0.1","9104","1","127.0.0.1","ok","","19025","Cucina",""
"80","2026-07-20T14:09:37.000Z","48","kitchen","7","Pizzeria","network","127.0.0.1","9105","1","127.0.0.1","rendering","","","Pizzeria",""
"81","2026-07-20T14:09:37.000Z","47","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","ok","","50489","",""
"82","2026-07-20T14:09:37.000Z","48","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","ok","","50489","",""
"83","2026-07-20T14:09:37.000Z","48","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","rendering","","","",""
"84","2026-07-20T14:09:37.000Z","51","receipt","","","","","","1","","queued","","","",""
"85","2026-07-20T14:09:37.000Z","51","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","rendering","","","",""
"86","2026-07-20T14:09:37.000Z","49","kitchen","6","Cucina","network","127.0.0.1","9104","1","127.0.0.1","sent","","21977","Cucina",""
"87","2026-07-20T14:09:37.000Z","51","kitchen","6","Cucina","network","127.0.0.1","9104","1","127.0.0.1","sent","","19025","Cucina",""
"88","2026-07-20T14:09:37.000Z","48","kitchen","7","Pizzeria","network","127.0.0.1","9105","1","127.0.0.1","sent","","19025","Pizzeria",""
"89","2026-07-20T14:09:37.000Z","49","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","sent","","53369","",""
"90","2026-07-20T14:09:37.000Z","50","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","sent","","50489","",""
"91","2026-07-20T14:09:37.000Z","48","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","sent","","50489","",""
"92","2026-07-20T14:09:37.000Z","49","kitchen","6","Cucina","network","127.0.0.1","9104","1","127.0.0.1","ok","","21977","Cucina",""
"93","2026-07-20T14:09:37.000Z","49","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","ok","","53369","",""
"94","2026-07-20T14:09:37.000Z","49","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","rendering","","","",""
"95","2026-07-20T14:09:37.000Z","49","kitchen","7","Pizzeria","network","127.0.0.1","9105","1","127.0.0.1","rendering","","","Pizzeria",""
"96","2026-07-20T14:09:37.000Z","51","kitchen","6","Cucina","network","127.0.0.1","9104","1","127.0.0.1","ok","","19025","Cucina",""
"97","2026-07-20T14:09:37.000Z","50","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","ok","","50489","",""
"98","2026-07-20T14:09:37.000Z","48","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","ok","","50489","",""
"99","2026-07-20T14:09:37.000Z","48","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","rendering","","","",""
"100","2026-07-20T14:09:37.000Z","52","kitchen","","","","","","1","127.0.0.1","queued","","","",""
"101","2026-07-20T14:09:37.000Z","52","kitchen","6","Cucina","network","127.0.0.1","9104","1","127.0.0.1","rendering","","","Cucina",""
"102","2026-07-20T14:09:37.000Z","52","receipt","","","","","","1","","queued","","","",""
"103","2026-07-20T14:09:37.000Z","52","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","rendering","","","",""
"104","2026-07-20T14:09:37.000Z","50","kitchen","6","Cucina","network","127.0.0.1","9104","1","127.0.0.1","sent","","19025","Cucina",""
"105","2026-07-20T14:09:37.000Z","49","kitchen","7","Pizzeria","network","127.0.0.1","9105","1","127.0.0.1","sent","","19025","Pizzeria",""
"106","2026-07-20T14:09:37.000Z","52","kitchen","6","Cucina","network","127.0.0.1","9104","1","127.0.0.1","sent","","21977","Cucina",""
