id,ts,orderId,jobType,printerId,printerName,connectionType,printerHost,printerPort,terminalId,terminalIp,event,attempt,bytes,centerName,errorMsg
"6128","2026-07-20T19:51:53.000Z","651","receipt","","","","","","1","","queued","","","",""
"6129","2026-07-20T19:51:53.000Z","651","kitchen","","","","","","","","queued","","","",""
"6130","2026-07-20T19:51:53.000Z","651","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","rendering","","","",""
"6131","2026-07-20T19:51:53.000Z","651","kitchen","6","Cucina","network","127.0.0.1","9104","","","rendering","","","Cucina",""
"6132","2026-07-20T19:51:53.000Z","652","receipt","","","","","","1","","queued","","","",""
"6133","2026-07-20T19:51:53.000Z","652","kitchen","","","","","","","","queued","","","",""
"6134","2026-07-20T19:51:53.000Z","652","kitchen","6","Cucina","network","127.0.0.1","9104","","","rendering","","","Cucina",""
"6135","2026-07-20T19:51:53.000Z","652","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","rendering","","","",""
"6136","2026-07-20T19:51:53.000Z","651","kitchen","6","Cucina","network","127.0.0.1","9104","","","sent","","19025","Cucina",""
"6137","2026-07-20T19:51:53.000Z","652","kitchen","6","Cucina","network","127.0.0.1","9104","","","sent","","19025","Cucina",""
"6138","2026-07-20T19:51:53.000Z","651","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","sent","","50489","",""
"6139","2026-07-20T19:51:53.000Z","652","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","sent","","50489","",""
"6140","2026-07-20T19:51:53.000Z","653","receipt","","","","","","1","","queued","","","",""
"6141","2026-07-20T19:51:53.000Z","653","kitchen","","","","","","","","queued","","","",""
"6142","2026-07-20T19:51:53.000Z","653","kitchen","6","Cucina","network","127.0.0.1","9104","","","rendering","","","Cucina",""
"6143","2026-07-20T19:51:53.000Z","653","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","rendering","","","",""
"6144","2026-07-20T19:51:53.000Z","653","kitchen","6","Cucina","network","127.0.0.1","9104","","","sent","","24929","Cucina",""
"6145","2026-07-20T19:51:53.000Z","651","kitchen","6","Cucina","network","127.0.0.1","9104","","","ok","","19025","Cucina",""
"6146","2026-07-20T19:51:53.000Z","652","kitchen","6","Cucina","network","127.0.0.1","9104","","","retry","1","","Cucina","write EPIPE"
"6147","2026-07-20T19:51:53.000Z","653","kitchen","6","Cucina","network","127.0.0.1","9104","","","retry","1","","Cucina","Printer 127.0.0.1:9104 offline"
"6148","2026-07-20T19:51:53.000Z","651","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","ok","","50489","",""
"6149","2026-07-20T19:51:53.000Z","651","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","rendering","","","",""
"6150","2026-07-20T19:51:53.000Z","652","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","ok","","50489","",""
"6151","2026-07-20T19:51:53.000Z","652","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","rendering","","","",""
"6152","2026-07-20T19:51:53.000Z","655","receipt","","","","","","1","","queued","","","",""
"6153","2026-07-20T19:51:53.000Z","655","kitchen","","","","","","","","queued","","","",""
"6154","2026-07-20T19:51:53.000Z","655","kitchen","7","Pizzeria","network","127.0.0.1","9105","","","rendering","","","Pizzeria",""
"6155","2026-07-20T19:51:53.000Z","655","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","rendering","","","",""
"6156","2026-07-20T19:51:53.000Z","654","receipt","","","","","","1","","queued","","","",""
"6157","2026-07-20T19:51:54.000Z","654","kitchen","","","","","","","","queued","","","",""
"6158","2026-07-20T19:51:54.000Z","654","kitchen","6","Cucina","network","127.0.0.1","9104","","","rendering","","","Cucina",""
"6159","2026-07-20T19:51:54.000Z","654","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","rendering","","","",""
"6160","2026-07-20T19:51:54.000Z","653","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","sent","","56249","",""
"6161","2026-07-20T19:51:54.000Z","653","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","ok","","56249","",""
"6162","2026-07-20T19:51:54.000Z","655","kitchen","7","Pizzeria","network","127.0.0.1","9105","","","sent","","19025","Pizzeria",""
"6163","2026-07-20T19:51:54.000Z","654","kitchen","6","Cucina","network","127.0.0.1","9104","","","sent","","19025","Cucina",""
"6164","2026-07-20T19:51:54.000Z","651","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","sent","","50489","",""
"6165","2026-07-20T19:51:54.000Z","652","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","sent","","50489","",""
"6166","2026-07-20T19:51:54.000Z","655","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","sent","","50489","",""
"6167","2026-07-20T19:51:54.000Z","654","kitchen","6","Cucina","network","127.0.0.1","9104","","","retry","1","","Cucina","Printer 127.0.0.1:9104 offline"
"6168","2026-07-20T19:51:54.000Z","651","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","ok","","50489","",""
"6169","2026-07-20T19:51:54.000Z","652","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","ok","","50489","",""
"6170","2026-07-20T19:51:54.000Z","655","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","ok","","50489","",""
"6171","2026-07-20T19:51:54.000Z","655","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","rendering","","","",""
"6172","2026-07-20T19:51:54.000Z","656","receipt","","","","","","1","","queued","","","",""
"6173","2026-07-20T19:51:54.000Z","656","kitchen","","","","","","","","queued","","","",""
"6174","2026-07-20T19:51:54.000Z","656","kitchen","7","Pizzeria","network","127.0.0.1","9105","","","rendering","","","Pizzeria",""
"6175","2026-07-20T19:51:54.000Z","656","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","rendering","","","",""
"6176","2026-07-20T19:51:54.000Z","654","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","sent","","50489","",""
"6177","2026-07-20T19:51:54.000Z","655","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","sent","","53369","",""
"6178","2026-07-20T19:51:54.000Z","654","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","ok","","50489","",""
"6179","2026-07-20T19:51:54.000Z","655","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","ok","","53369","",""
"6180","2026-07-20T19:51:54.000Z","655","kitchen","7","Pizzeria","network","127.0.0.1","9105","","","ok","","19025","Pizzeria",""
"6181","2026-07-20T19:51:54.000Z","656","kitchen","7","Pizzeria","network","127.0.0.1","9105","","","sent","","19025","Pizzeria",""
"6182","2026-07-20T19:51:54.000Z","656","kitchen","7","Pizzeria","network","127.0.0.1","9105","","","ok","","19025","Pizzeria",""
"6183","2026-07-20T19:51:54.000Z","657","receipt","","","","","","1","","queued","","","",""
"6184","2026-07-20T19:51:54.000Z","657","kitchen","","","","","","","","queued","","","",""
"6185","2026-07-20T19:51:54.000Z","657","kitchen","6","Cucina","network","127.0.0.1","9104","","","rendering","","","Cucina",""
"6186","2026-07-20T19:51:54.000Z","657","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","rendering","","","",""
"6187","2026-07-20T19:51:54.000Z","658","receipt","","","","","","1","","queued","","","",""
"6188","2026-07-20T19:51:54.000Z","658","kitchen","","","","","","","","queued","","","",""
"6189","2026-07-20T19:51:54.000Z","658","kitchen","6","Cucina","network","127.0.0.1","9104","","","rendering","","","Cucina",""
"6190","2026-07-20T19:51:54.000Z","658","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","rendering","","","",""
"6191","2026-07-20T19:51:54.000Z","656","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","sent","","50489","",""
"6192","2026-07-20T19:51:54.000Z","656","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","ok","","50489","",""
"6193","2026-07-20T19:51:54.000Z","656","receipt","2","Cassa 1","network","127.0.0.1","9100","1","","rendering","","","",""
